Tracktitle,Artistname,Othername,ISNI code,IPI code,ISRC,album
Another Brick in the wall Part 2,Bassist rogers,Kenny Rodgers,['0000000073670305'],not found,34b6f940-a99d-4b0b-a678-1fddf7a6bdea,Pop Psychology
Walk this Way,Elaine cushman,not found,not found,not found,24baa43c-daf8-4ac5-9fa1-c75a740bd4fa,Rock for the Rising Sun
Good Vibrations,The Beach boys,not found,['0000000121941107'],not found,1629396f-9a3d-4d01-88e1-acabd5dd1507,not found
Let it Be,The Beatles,not found,['0000000121707484'],not found,0979cc7c-fd48-4c82-827d-7919ed1c3069,not found
A Day in the Life,The Beatles,not found,['0000000121707484'],not found,27ae9c34-36c7-43f6-8f7d-fe775b151bc1,not found
Wont Get Fooled Again,The Who,High Numbers,['0000000123373203'],not found,333a67e6-a1ec-4d14-a3d4-31595a539f62,Fox on the Run (Sonic Glitter Version)
November Rain,Guns N Roses,not found,['0000000121589641'],not found,b45825e8-3c3e-4758-a507-983921fc0247,not found
Hotel California,Eagles,not found,['0000000115265624'],not found,43517663-d2e4-47af-87d7-eb1ffe6cf0fe,not found
Born To Run,Bruce Springsteen,The Boss,['0000000121418834'],['00076333277'],e8cc15ab-9d87-4a3a-8885-2b484c1ed729,Springsteen on Broadway
Like a Rolling Stone,Bob Dylan,Robert Allen Zimmerman,['0000000121479733'],"['00008955074', '00008955172']",6b564dc1-c178-4419-a833-3495ba190aab,Uncut Unplugged
Bohemian Rhapsody,Queen,not found,['0000000115265309'],not found,acef58d0-d72f-4809-b8e0-c6f042480e17,Live at Wembley Stadium
"No Woman, No Cry",Bob marley,Bobby Martell,['0000000122768131'],"['00019675460', '00034755283', '00581446340']",87f85930-7f50-4a10-8d8b-068623bff5a5,Legend Remixed
Youâ€™ve Lost That Lovinâ€™ Feeling,The Righteous Brothers,Righteous Brothers,['0000000090086047'],not found,e152c517-3722-4964-899c-6fa02535dacb,Retrospective
Sympathy For The Devil,The rolling stones,not found,['0000000121924040'],not found,d4de3b09-3436-44c7-a95c-f7264657afcd,not found
I Walk The Line,Johnny cash,Johhny Cash,['0000000108823456'],['00005462217'],9c6869b0-f618-44a0-b56f-0dd0b88122b2,I Walk the Line...Songs of Love
People Get Ready,Curtis Mayfiled,not found,not found,not found,f029be32-4fbc-4294-a6c4-4c5065dd06eb,Give It Up: The Best of the Curtom Years 1970–77
Baba Oâ€™Riley,The Who,High Numbers,['0000000123373203'],not found,0311e3c1-064d-41e3-b13d-3d593227dd2a,Discover More Classic Rock
Be My Baby,The Ronettes,Ronettes,not found,not found,f5703d80-a9d1-48a7-91e0-96bf85d4844b,"2012-10-18: NYCTaper CMJ Day Show, Cake Shop, New York, NY, USA"
Behind Blue Eyes,Limp Bizkit,Limp Biskit,['0000000123149113'],not found,72f405ad-739f-4748-a2f0-99636da4d383,Behind Blue Eyes
Hound Dog,Elvis Presley,Elvis Aaron Presley,['0000000121241960'],"['00056021705', '00056021803', '00058226279']",8debe8d9-a657-4a93-b37f-0f5363c71958,The Essential Elvis Presley
Rock Around The Clock,Bill Haley,"William John Clinton Haley, Jr.",['0000000114786233'],['00013220646'],ce9a5438-7396-40ec-a2be-459065197273,Stray Cats Ball: No Dogs Allowed
Here Comes The Sun,The Beatles,not found,['0000000121707484'],not found,15464c6d-0987-473e-971e-c278cf56a07e,not found
You Really Got Me,The Kinks,Muswell Ravens,['0000000115404823'],not found,f2393e57-11c5-4ed6-b83f-1696a72e5d44,Live à la nouvelle star
Purple Haze,Jimi Hendrix,not found,['0000000110259073'],['00041212145'],01bce79d-7186-421e-97e8-0cbac0b28297,not found
What A Wonderful World,Louis Armstrong,not found,['0000000110198071'],['00001334546'],084e7ef5-7702-4137-aec8-05a691afeae3,not found
The Sound Of Silence,The Kinks,Muswell Ravens,['0000000115404823'],not found,47b367f8-1f53-48b4-ace2-a73c6034ea48,Rock and Roll Forever / Now Playing
A Day In The Life,The Beatles,not found,['0000000121707484'],not found,27ae9c34-36c7-43f6-8f7d-fe775b151bc1,not found
Light My Fire,The Doors,Jim Morrison & the Doors,"['0000000115160232', '0000000412022725']",not found,7935d905-fa46-4c27-81eb-f3f987b5e2f7,Covers 1995
Paint It Black,The Rolling Stones,not found,['0000000121924040'],not found,6c8a950d-5401-44da-8726-94e22cba5b81,not found
All Along The Watchtower,Jimi Hendrix,not found,['0000000110259073'],['00041212145'],bf69a92d-8af9-4689-af27-7b884ec3463d,not found
Stairway To Heaven,Led Zeppelin,not found,['0000000123483226'],not found,5e6a4e7f-9d6c-43f2-aac2-d567755683b5,not found
God Only Knows,The Beach Boys,not found,['0000000121941107'],not found,fd5b85ef-0935-4f73-a944-8e78a550b736,not found
Family Affair,Mary J Blige,Mary J.Blidge,['000000006310393X'],['00336896223'],971f0c5a-a000-4d86-a456-dd1957ce7645,"Hot 97: Blazing Hip-Hop and R&B, Volume 19"
Pyramid Song,Radiohead,r/head,['0000000115475162'],not found,45e6908d-b34d-422f-b7a1-1f37e18f9aa0,Amnesiac
My City of Ruins,Bruce Springsteen,The Boss,['0000000121418834'],['00076333277'],707d38e8-c4bb-42a8-ab24-838bef92a062,Greetings From Asbury Park
Heartbeats,The Knife,not found,not found,not found,25e4be39-206d-484e-aea3-0871dcf4fad2,not found
Try Again,Aaliyah,Aaliyah Dana Haughton,['0000000059585374'],not found,3485853e-e8cc-4d15-97cb-ba74f9f273d7,I Care 4 U
Stillness Is the Move,Dirty Projectors,The Dirty Projectors,not found,not found,291a3267-b560-410a-bc33-e66fb4a26156,NBA2K13
